date,year,month,month_name,mode,patronage,network_group
2021-06-01,2021,6,June,Regional Bus,693393,Regional/VLine
2021-07-01,2021,7,July,Regional Bus,599227,Regional/VLine
2021-08-01,2021,8,August,Regional Bus,707880,Regional/VLine
2021-09-01,2021,9,September,Regional Bus,451102,Regional/VLine
2021-10-01,2021,10,October,Regional Bus,656824,Regional/VLine
2021-11-01,2021,11,November,Regional Bus,855704,Regional/VLine
2021-12-01,2021,12,December,Regional Bus,688849,Regional/VLine
2022-01-01,2022,1,January,Regional Bus,549859,Regional/VLine
2022-02-01,2022,2,February,Regional Bus,985731,Regional/VLine
2022-03-01,2022,3,March,Regional Bus,1060923,Regional/VLine
2022-04-01,2022,4,April,Regional Bus,838558,Regional/VLine
2022-05-01,2022,5,May,Regional Bus,1121794,Regional/VLine
2022-06-01,2022,6,June,Regional Bus,926422,Regional/VLine
2022-07-01,2022,7,July,Regional Bus,975473,Regional/VLine
2022-08-01,2022,8,August,Regional Bus,1098964,Regional/VLine
2022-09-01,2022,9,September,Regional Bus,858200,Regional/VLine
2022-10-01,2022,10,October,Regional Bus,1159113,Regional/VLine
2022-11-01,2022,11,November,Regional Bus,1035487,Regional/VLine
2022-12-01,2022,12,December,Regional Bus,863993,Regional/VLine
2023-01-01,2023,1,January,Regional Bus,820221,Regional/VLine
2023-02-01,2023,2,February,Regional Bus,1096006,Regional/VLine
2023-03-01,2023,3,March,Regional Bus,1247122,Regional/VLine
2023-04-01,2023,4,April,Regional Bus,938444,Regional/VLine
2023-05-01,2023,5,May,Regional Bus,1222849,Regional/VLine
2023-06-01,2023,6,June,Regional Bus,1049480,Regional/VLine
2023-07-01,2023,7,July,Regional Bus,1148259,Regional/VLine
2023-08-01,2023,8,August,Regional Bus,1255113,Regional/VLine
2023-09-01,2023,9,September,Regional Bus,1103635,Regional/VLine
2023-10-01,2023,10,October,Regional Bus,1242909,Regional/VLine
2023-11-01,2023,11,November,Regional Bus,1190730,Regional/VLine
2023-12-01,2023,12,December,Regional Bus,1009701,Regional/VLine
2024-01-01,2024,1,January,Regional Bus,841044,Regional/VLine
2024-02-01,2024,2,February,Regional Bus,1115173,Regional/VLine
2024-03-01,2024,3,March,Regional Bus,1116628,Regional/VLine
2024-04-01,2024,4,April,Regional Bus,1056862,Regional/VLine
2024-05-01,2024,5,May,Regional Bus,1247979,Regional/VLine
2024-06-01,2024,6,June,Regional Bus,994915,Regional/VLine
2024-07-01,2024,7,July,Regional Bus,1068435,Regional/VLine
2024-08-01,2024,8,August,Regional Bus,1183307,Regional/VLine
2024-09-01,2024,9,September,Regional Bus,1027230,Regional/VLine
2024-10-01,2024,10,October,Regional Bus,1193762,Regional/VLine
2024-11-01,2024,11,November,Regional Bus,940930,Regional/VLine
2024-12-01,2024,12,December,Regional Bus,921439,Regional/VLine
2025-01-01,2025,1,January,Regional Bus,782149,Regional/VLine
2025-02-01,2025,2,February,Regional Bus,1025310,Regional/VLine
2025-03-01,2025,3,March,Regional Bus,1147175,Regional/VLine
2025-04-01,2025,4,April,Regional Bus,961133,Regional/VLine
2025-05-01,2025,5,May,Regional Bus,1110728,Regional/VLine
2025-06-01,2025,6,June,Regional Bus,962106,Regional/VLine
2025-07-01,2025,7,July,Regional Bus,956183,Regional/VLine
2025-08-01,2025,8,August,Regional Bus,990904,Regional/VLine
2025-09-01,2025,9,September,Regional Bus,940369,Regional/VLine
2025-10-01,2025,10,October,Regional Bus,1117069,Regional/VLine
2025-11-01,2025,11,November,Regional Bus,936233,Regional/VLine
2025-12-01,2025,12,December,Regional Bus,895411,Regional/VLine
2026-01-01,2026,1,January,Regional Bus,771902,Regional/VLine
2026-02-01,2026,2,February,Regional Bus,970908,Regional/VLine
2026-03-01,2026,3,March,Regional Bus,1142533,Regional/VLine
2026-04-01,2026,4,April,Regional Bus,981510,Regional/VLine
2026-05-01,2026,5,May,Regional Bus,1098646,Regional/VLine
2026-06-01,2026,6,June,Regional Bus,1187220,Regional/VLine
